title,year,venue,cited,doi,pdf
Impact of Ti and Zn Dual‐Substitution in P2 Type Na 2/3 Ni 1/3 Mn 2/3 O 2 on Ni–Mn and Na‐Vacancy Ordering and Electrochemical Properties,2023,Advanced Materials,147,10.1002/adma.202300714,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adma.202300714
Ternary MOF-Based Redox Active Sites Enabled 3D-on-2D Nanoarchitectured Battery-Type Electrodes for High-Energy-Density Supercapatteries,2020,Nano-Micro Letters,146,10.1007/s40820-020-00528-9,https://link.springer.com/content/pdf/10.1007/s40820-020-00528-9.pdf
Atomically dispersed Fe in a C2N Based Catalyst as a Sulfur Host for Efficient Lithium–Sulfur Batteries,2020,Advanced Energy Materials,146,10.1002/aenm.202003507,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/aenm.202003507
Elucidating electrochemical intercalation mechanisms of biomass‐derived hard carbon in sodium‐/potassium‐ion batteries,2021,Carbon Energy,146,10.1002/cey2.111,
Single-crystalline Mn-based oxide as a high-rate and long-life cathode material for potassium-ion battery,2022,eScience,146,10.1016/j.esci.2022.10.007,https://www.sciencedirect.com/science/article/pii/S2667141722001203/pdf
A Nature‐Inspired Separator with Water‐Confined and Kinetics‐Boosted Effects for Sustainable and High‐Utilization Zn Metal Batteries,2023,Small,145,10.1002/smll.202300130,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/smll.202300130
Identifying Heteroatomic and Defective Sites in Carbon with Dual-Ion Adsorption Capability for High Energy and Power Zinc Ion Capacitor,2021,Nano-Micro Letters,144,10.1007/s40820-021-00588-5,https://link.springer.com/content/pdf/10.1007/s40820-021-00588-5.pdf
NbSe2 Meets C2N: A 2D‐2D Heterostructure Catalysts as Multifunctional Polysulfide Mediator in Ultra‐Long‐Life Lithium–Sulfur Batteries,2021,Dipòsit Digital de Documents de la UAB (Universitat Autònoma de Barcelona),144,10.1002/aenm.202101250,https://ddd.uab.cat/pub/artpub/2021/271951/advenemat_a2021v11n2101250.pdf
Embedding Atomically Dispersed Iron Sites in Nitrogen‐Doped Carbon Frameworks‐Wrapped Silicon Suboxide for Superior Lithium Storage,2022,Advanced Science,144,10.1002/advs.202206084,
Non‐Flammable Electrolyte with Lithium Nitrate as the Only Lithium Salt for Boosting Ultra‐Stable Cycling and Fire‐Safety Lithium Metal Batteries,2023,Advanced Functional Materials,144,10.1002/adfm.202212605,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adfm.202212605
Unraveling Electrochemical Stability and Reversible Redox of Y-Doped Li 2 ZrCl 6 Solid Electrolytes,2023,Energy Material Advances,144,10.34133/energymatadv.0019,
Ultrathin Zincophilic Interphase Regulated Electric Double Layer Enabling Highly Stable Aqueous Zinc-Ion Batteries,2024,Nano-Micro Letters,144,10.1007/s40820-023-01312-1,https://link.springer.com/content/pdf/10.1007/s40820-023-01312-1.pdf
Switchable encapsulation of polysulfides in the transition between sulfur and lithium sulfide,2020,Nature Communications,143,10.1038/s41467-020-14686-2,https://www.nature.com/articles/s41467-020-14686-2.pdf
Polycation ionic liquid tailored PEO-based solid polymer electrolytes for high temperature lithium metal batteries,2020,OSTI OAI (U.S. Department of Energy Office of Scientific and Technical Information),143,10.1016/j.ensm.2020.08.009,
Constructing Artificial SEI Layer on Lithiophilic MXene Surface for High‐Performance Lithium Metal Anodes,2022,Advanced Science,143,10.1002/advs.202103930,
Ni‐CeO2 Heterostructures in Li‐S Batteries: A Balancing Act between Adsorption and Catalytic Conversion of Polysulfide,2022,Advanced Science,143,10.1002/advs.202105538,
Stabilizing Reversible Oxygen Redox Chemistry in Layered Oxides for Sodium‐Ion Batteries,2020,OSTI OAI (U.S. Department of Energy Office of Scientific and Technical Information),142,10.1002/aenm.201903785,
A Co‐ and Ni‐Free P2/O3 Biphasic Lithium Stabilized Layered Oxide for Sodium‐Ion Batteries and its Cycling Behavior,2020,Advanced Functional Materials,142,10.1002/adfm.202003364,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adfm.202003364
Engineering stable Zn-MnO2 batteries by synergistic stabilization between the carbon nanofiber core and birnessite-MnO2 nanosheets shell,2020,OSTI OAI (U.S. Department of Energy Office of Scientific and Technical Information),142,10.1016/j.cej.2020.126969,
In‐MOF‐Derived Hierarchically Hollow Carbon Nanostraws for Advanced Zinc‐Iodine Batteries,2022,Advanced Science,142,10.1002/advs.202105063,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/advs.202105063
In situ surface engineering enables high interface stability and rapid reaction kinetics for Ni-rich cathodes,2022,eScience,142,10.1016/j.esci.2022.10.008,https://www.sciencedirect.com/science/article/pii/S2667141722001215/pdf
Overcoming low initial coulombic efficiencies of Si anodes through prelithiation in all-solid-state batteries,2024,Nature Communications,142,10.1038/s41467-024-47352-y,https://www.nature.com/articles/s41467-024-47352-y.pdf
3D Porous Ti3C2 MXene/NiCo-MOF Composites for Enhanced Lithium Storage,2020,Nanomaterials,141,10.3390/nano10040695,https://www.mdpi.com/2079-4991/10/4/695/pdf?version=1586238975
Highly Reversible Zn Metal Anodes Enabled by Increased Nucleation Overpotential,2023,Nano-Micro Letters,141,10.1007/s40820-023-01136-z,https://link.springer.com/content/pdf/10.1007/s40820-023-01136-z.pdf
Promoting high-voltage stability through local lattice distortion of halide solid electrolytes,2024,Nature Communications,141,10.1038/s41467-024-45864-1,https://www.nature.com/articles/s41467-024-45864-1.pdf
A Bifunctional Electrolyte Additive Features Preferential Coordination with Iodine toward Ultralong‐Life Zinc–Iodine Batteries,2024,Advanced Energy Materials,141,10.1002/aenm.202400110,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/aenm.202400110
"A comprehensive review of silicon anodes for high-energy lithium-ion batteries: Challenges, latest developments, and perspectives",2024,Next Energy,141,10.1016/j.nxener.2024.100176,
Highly reversible and dendrite-free Zn electrodeposition enabled by a thin metallic interfacial layer in aqueous batteries,2020,Figshare,140,10.1016/j.cej.2020.128062,
High-Energy and High-Power Pseudocapacitor–Battery Hybrid Sodium-Ion Capacitor with Na+ Intercalation Pseudocapacitance Anode,2021,Nano-Micro Letters,140,10.1007/s40820-020-00567-2,https://link.springer.com/content/pdf/10.1007/s40820-020-00567-2.pdf
Phase Engineering of Nickel Sulfides to Boost Sodium‐ and Potassium‐Ion Storage Performance,2021,Figshare,140,10.1002/adfm.202010832,
High‐Entropy Doping Boosts Ion/Electronic Transport of Na 4 Fe 3 (PO 4 ) 2 (P 2 O 7 )/C Cathode for Superior Performance Sodium‐Ion Batteries,2023,Deep Blue (University of Michigan),140,10.1002/smll.202302609,https://hdl.handle.net/2027.42/178230
Covalent Organic Framework with Multiple Redox Active Sites for High-Performance Aqueous Calcium Ion Batteries,2023,Figshare,140,10.1021/jacs.3c04657,
Molecular‐Level Design of Pyrrhotite Electrocatalyst Decorated Hierarchical Porous Carbon Spheres as Nanoreactors for Lithium–Sulfur Batteries,2020,Advanced Energy Materials,139,10.1002/aenm.202000651,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/aenm.202000651
Tetradiketone macrocycle for divalent aluminium ion batteries,2021,Nature Communications,139,10.1038/s41467-021-22633-y,https://www.nature.com/articles/s41467-021-22633-y.pdf
A Chemically Self‐Charging Flexible Solid‐State Zinc‐Ion Battery Based on VO2 Cathode and Polyacrylamide–Chitin Nanofiber Hydrogel Electrolyte,2021,Civil War Book Review,139,10.1002/aenm.202003902,
A TiSe2‐Graphite Dual Ion Battery: Fast Na‐Ion Insertion and Excellent Stability,2021,Digital Access to Libraries,139,10.1002/anie.202105439,
High‐Entropy Alloys to Activate the Sulfur Cathode for Lithium–Sulfur Batteries,2022,Energy & environment materials,139,10.1002/eem2.12358,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/eem2.12358
Advanced Zinc–Iodine Batteries with Ultrahigh Capacity and Superior Rate Performance Based on Reduced Graphene Oxide and Water‐in‐Salt Electrolyte,2023,Advanced Functional Materials,139,10.1002/adfm.202210043,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adfm.202210043
Revealing the Anion–Solvent Interaction for Ultralow Temperature Lithium Metal Batteries,2023,Advanced Materials,139,10.1002/adma.202306462,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adma.202306462
Semi-solid alkali metal electrodes enabling high critical current densities in solid electrolyte batteries,2021,OSTI OAI (U.S. Department of Energy Office of Scientific and Technical Information),138,10.1038/s41560-021-00786-w,https://www.osti.gov/servlets/purl/1776603
A saccharide-based binder for efficient polysulfide regulations in Li-S batteries,2021,Nature Communications,138,10.1038/s41467-021-25612-5,https://www.nature.com/articles/s41467-021-25612-5.pdf
Versatile Preparation of Mesoporous Single‐Layered Transition‐Metal Sulfide/Carbon Composites for Enhanced Sodium Storage,2021,UCL Discovery (University College London),138,10.1002/adma.202104427,https://discovery.ucl.ac.uk/10136919/1/2021%20AM%20battery%20Dong%20Gu.pdf
Synthesis of Nitrogen‐Doped KMn8O16 with Oxygen Vacancy for Stable Zinc‐Ion Batteries,2022,Advanced Science,138,10.1002/advs.202106067,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/advs.202106067
"Molecular deciphering of hydrophobic, Zinc-philic and robust Amino-functionalized Polysilane for Dendrite-free Zn Anode",2022,Figshare,138,10.1016/j.ensm.2022.11.026,
Electronic Structure Engineering in NiFe Sulfide via A Third Metal Doping as Efficient Bifunctional OER/ORR Electrocatalyst for Rechargeable Zinc‐Air Battery,2024,Advanced Functional Materials,138,10.1002/adfm.202310181,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adfm.202310181
Extended Interfacial Stability through Simple Acid Rinsing in a Li-Rich Oxide Cathode Material,2020,OSTI OAI (U.S. Department of Energy Office of Scientific and Technical Information),137,10.1021/jacs.0c02859,https://www.osti.gov/servlets/purl/1594933
Polymer-Derived SiOC Integrated with a Graphene Aerogel As a Highly Stable Li-Ion Battery Anode,2020,arXiv (Cornell University),137,10.1021/acsami.0c12376,https://arxiv.org/pdf/2104.06759
Advanced strategies for the development of porous carbon as a Li host/current collector for lithium metal batteries,2021,OSTI OAI (U.S. Department of Energy Office of Scientific and Technical Information),137,10.1016/j.ensm.2021.06.015,
Lithium Argyrodite as Solid Electrolyte and Cathode Precursor for Solid‐State Batteries with Long Cycle Life,2021,Advanced Energy Materials,137,10.1002/aenm.202101370,
A branched dihydrophenazine-based polymer as a cathode material to achieve dual-ion batteries with high energy and power density,2021,eScience,137,10.1016/j.esci.2021.08.002,https://www.sciencedirect.com/science/article/pii/S2667141721000021/pdf
"N , N -dimethylformamide tailors solvent effect to boost Zn anode reversibility in aqueous electrolyte",2022,National Science Review,137,10.1093/nsr/nwac051,
Steel Anti‐Corrosion Strategy Enables Long‐Cycle Zn Anode,2022,Advanced Energy Materials,137,10.1002/aenm.202202603,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/aenm.202202603
An aqueous electrolyte densified by perovskite SrTiO3 enabling high-voltage zinc-ion batteries,2023,Nature Communications,137,10.1038/s41467-023-40462-z,https://www.nature.com/articles/s41467-023-40462-z.pdf
Suppressing Rampant and Vertical Deposition of Cathode Intermediate Product via PH Regulation Toward Large‐Capacity and High‐Durability Zn//MnO 2 Batteries,2023,Advanced Materials,137,10.1002/adma.202304997,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adma.202304997
Regulating Phase Transition and Restraining Fe Distortion at High Potential Window via Rare Earth Metal Incorporation on O3‐Type Layered Cathodes,2024,Advanced Functional Materials,137,10.1002/adfm.202402398,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adfm.202402398
Deconstruction Engineering of Lignocellulose Toward High‐Plateau‐Capacity Hard Carbon Anodes for Sodium‐Ion Batteries,2024,Small,137,10.1002/smll.202405632,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/smll.202405632
Overcoming the Interfacial Limitations Imposed by the Solid–Solid Interface in Solid‐State Batteries Using Ionic Liquid‐Based Interlayers,2020,Small,136,10.1002/smll.202000279,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/smll.202000279
Ultrathin RuRh Alloy Nanosheets Enable High-Performance Lithium-CO2 Battery,2020,Matter,136,10.1016/j.matt.2020.02.020,http://www.cell.com/article/S2590238520300825/pdf
Alternative lithium-ion battery using biomass-derived carbons as environmentally sustainable anode,2020,Journal of Colloid and Interface Science,136,10.1016/j.jcis.2020.03.092,https://www.sciencedirect.com/science/article/pii/S0021979720303933
Highly stable rechargeable zinc-ion battery using dimethyl sulfoxide electrolyte,2021,Materials Today Energy,136,10.1016/j.mtener.2021.100738,
Carbon-Coated Three-Dimensional MXene/Iron Selenide Ball with Core–Shell Structure for High-Performance Potassium-Ion Batteries,2021,Nano-Micro Letters,136,10.1007/s40820-021-00741-0,https://link.springer.com/content/pdf/10.1007/s40820-021-00741-0.pdf
Elucidating the Effect of Borate Additive in High‐Voltage Electrolyte for Li‐Rich Layered Oxide Materials,2022,OSTI OAI (U.S. Department of Energy Office of Scientific and Technical Information),135,10.1002/aenm.202103033,
Engineering homotype heterojunctions in hard carbon to induce stable solid electrolyte interfaces for sodium‐ion batteries,2022,Carbon Energy,135,10.1002/cey2.220,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/cey2.220
Efficient Charge Storage in Zinc–Iodine Batteries based on Pre‐Embedded Iodine‐Ions with Reduced Electrochemical Reaction Barrier and Suppression of Polyiodide ,2023,Advanced Functional Materials,135,10.1002/adfm.202211979,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adfm.202211979
Inorganic Filler Enhanced Formation of Stable Inorganic‐Rich Solid Electrolyte Interphase for High Performance Lithium Metal Batteries,2023,Advanced Functional Materials,135,10.1002/adfm.202301111,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adfm.202301111
Unlocking the Potential of Li‐Rich Mn‐Based Oxides for High‐Rate Rechargeable Lithium‐Ion Batteries,2023,Advanced Materials,135,10.1002/adma.202307138,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adma.202307138
Engineering Mesoporous Structure in Amorphous Carbon Boosts Potassium Storage with High Initial Coulombic Efficiency,2020,Nano-Micro Letters,134,10.1007/s40820-020-00481-7,https://link.springer.com/content/pdf/10.1007/s40820-020-00481-7.pdf
High Performance Printed AgO-Zn Rechargeable Battery for Flexible Electronics,2020,Joule,134,10.1016/j.joule.2020.11.008,http://www.cell.com/article/S254243512030516X/pdf
Ultra-stable sodium ion storage of biomass porous carbon derived from sugarcane,2022,Chemical Engineering Journal,134,10.1016/j.cej.2022.136344,https://linkinghub.elsevier.com/retrieve/pii/S1385894722018393
Electrolyte solvation chemistry to construct an anion-tuned interphase for stable high-temperature lithium metal batteries,2023,eScience,134,10.1016/j.esci.2023.100135,
Enhanced Polysulfide Conversion with Highly Conductive and Electrocatalytic Iodine‐Doped Bismuth Selenide Nanosheets in Lithium–Sulfur Batteries,2022,Dipòsit Digital de Documents de la UAB (Universitat Autònoma de Barcelona),133,10.1002/adfm.202200529,
A twelve-electron conversion iodine cathode enabled by interhalogen chemistry in aqueous solution,2023,Nature Communications,133,10.1038/s41467-023-41071-6,https://www.nature.com/articles/s41467-023-41071-6.pdf
Enabling 4C Fast Charging of Lithium‐Ion Batteries by Coating Graphite with a Solid‐State Electrolyte,2021,Deep Blue (University of Michigan),132,10.1002/aenm.202102618,https://hdl.handle.net/2027.42/171610
Lithiated Prussian blue analogues as positive electrode active materials for stable non-aqueous lithium-ion batteries,2022,Nature Communications,132,10.1038/s41467-022-35376-1,https://www.nature.com/articles/s41467-022-35376-1.pdf
High-throughput and high-performance lithium-ion batteries via dry processing,2023,OSTI OAI (U.S. Department of Energy Office of Scientific and Technical Information),132,10.1016/j.cej.2023.144300,
High-Voltage Potassium Hexacyanoferrate Cathode via High-Entropy and Potassium Incorporation for Stable Sodium-Ion Batteries,2023,OSTI OAI (U.S. Department of Energy Office of Scientific and Technical Information),132,10.1021/acsnano.3c02323,https://www.osti.gov/servlets/purl/2205648
An Iodine‐Chemisorption Binder for High‐Loading and Shuttle‐Free Zn–Iodine Batteries,2024,Advanced Energy Materials,132,10.1002/aenm.202304110,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/aenm.202304110
A tripartite synergistic optimization strategy for zinc-iodine batteries,2024,Nature Communications,132,10.1038/s41467-024-53800-6,https://www.nature.com/articles/s41467-024-53800-6.pdf
A Dual Protection System for Heterostructured 3D CNT/CoSe2/C as High Areal Capacity Anode for Sodium Storage,2020,Advanced Science,131,10.1002/advs.201902907,
An Overview on Anodes for Magnesium Batteries: Challenges towards a Promising Storage Solution for Renewables,2021,Nanomaterials,131,10.3390/nano11030810,https://www.mdpi.com/2079-4991/11/3/810/pdf?version=1616405028
Ionic Liquid Functionalized Gel Polymer Electrolytes for Stable Lithium Metal Batteries,2021,Angewandte Chemie International Edition,131,10.1002/anie.202106237,
Toward High-Voltage Solid-State Li-Metal Batteries with Double-Layer Polymer Electrolytes,2022,Figshare,131,10.1021/acsenergylett.2c00488,
Reversible Oxygen-Rich Functional Groups Grafted 3D Honeycomb-Like Carbon Anode for Super-Long Potassium Ion Batteries,2022,Nano-Micro Letters,131,10.1007/s40820-022-00892-8,https://link.springer.com/content/pdf/10.1007/s40820-022-00892-8.pdf
Proton Storage in Metallic H1.75MoO3 Nanobelts through the Grotthuss Mechanism,2022,OSTI OAI (U.S. Department of Energy Office of Scientific and Technical Information),131,10.1021/jacs.2c03844,https://www.osti.gov/servlets/purl/1967430
A parts-per-million scale electrolyte additive for durable aqueous zinc batteries,2025,Nature Communications,131,10.1038/s41467-025-56607-1,https://www.nature.com/articles/s41467-025-56607-1.pdf
Hierarchical Micro‐Nanoclusters of Bimetallic Layered Hydroxide Polyhedrons as Advanced Sulfur Reservoir for High‐Performance Lithium–Sulfur Batteries,2021,Advanced Science,130,10.1002/advs.202003400,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/advs.202003400
Molten Salt Derived Nb2CTx MXene Anode for Li‐ion Batteries,2021,ChemElectroChem,130,10.1002/celc.202100142,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/celc.202100142
Effects of Catalysis and Separator Functionalization on High‐Energy Lithium–Sulfur Batteries: A Complete Review,2022,Energy & environment materials,130,10.1002/eem2.12420,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/eem2.12420
Metallic Particles‐Induced Surface Reconstruction Enabling Highly Durable Zinc Metal Anode,2023,Advanced Functional Materials,130,10.1002/adfm.202302661,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adfm.202302661
A Sulfur Heterocyclic Quinone Cathode Towards High‐Rate and Long‐Cycle Aqueous Zn‐Organic Batteries,2023,Advanced Materials,129,10.1002/adma.202301088,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adma.202301088
Reconstructing interfacial manganese deposition for durable aqueous zinc–manganese batteries,2023,National Science Review,129,10.1093/nsr/nwad220,https://academic.oup.com/nsr/advance-article-pdf/doi/10.1093/nsr/nwad220/51119380/nwad220.pdf
A 500 Wh/kg Lithium-Metal Cell Based on Anionic Redox,2020,Joule,128,10.1016/j.joule.2020.05.012,http://www.cell.com/article/S2542435120302300/pdf
Achieving Uniform Li Plating/Stripping at Ultrahigh Currents and Capacities by Optimizing 3D Nucleation Sites and Li2Se‐Enriched SEI,2022,Advanced Science,128,10.1002/advs.202104689,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/advs.202104689
An Ultrahigh‐Mass‐Loading Integrated Free‐Standing Functional All‐Carbon Positive Electrode Prepared using an Architecture Tailoring Strategy for High‐Energy‐De,2023,Advanced Materials,128,10.1002/adma.202302086,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adma.202302086
Interface Engineering of Fe7S8/FeS2 Heterostructure in situ Encapsulated into Nitrogen-Doped Carbon Nanotubes for High Power Sodium-Ion Batteries,2023,Nano-Micro Letters,128,10.1007/s40820-023-01082-w,https://link.springer.com/content/pdf/10.1007/s40820-023-01082-w.pdf
Bioinspired design of Na-ion conduction channels in covalent organic frameworks for quasi-solid-state sodium batteries,2023,Nature Communications,128,10.1038/s41467-023-38822-w,https://www.nature.com/articles/s41467-023-38822-w.pdf
Ultra-fast charging in aluminum-ion batteries: electric double layers on active anode,2021,Nature Communications,127,10.1038/s41467-021-21108-4,https://www.nature.com/articles/s41467-021-21108-4.pdf
Phase Engineering of Defective Copper Selenide toward Robust Lithium–Sulfur Batteries,2022,UPCommons institutional repository (Universitat Politècnica de Catalunya),127,10.1021/acsnano.2c03788,https://upcommons.upc.edu/bitstream/2117/382969/1/Manuscript%20ACSnano%20Dawei%20Yang%20CuSe.pdf
Activating sulfur oxidation reactionviasix-electron redox mesocrystal NiS2 for sulfur-based aqueous batteries,2022,National Science Review,127,10.1093/nsr/nwac268,
Optimizing the Electron Spin States of Na4Fe3(PO4)2P2O7 Cathodes via Mn/F Dual‐Doping for Enhanced Sodium Storage,2023,Advanced Functional Materials,127,10.1002/adfm.202309701,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adfm.202309701
Reversible (De)Intercalation of Hydrated Zn 2+ in Mg 2+ ‐Stabilized V 2 O 5 Nanobelts with High Areal Capacity,2020,OSTI OAI (U.S. Department of Energy Office of Scientific and Technical Information),126,10.1002/aenm.202002293,
High‐Voltage Aqueous Mg‐Ion Batteries Enabled by Solvation Structure Reorganization,2022,Advanced Functional Materials,126,10.1002/adfm.202110674,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adfm.202110674
Restraining the escape of lattice oxygen enables superior cyclic performance towards high-voltage Ni-rich cathodes,2022,National Science Review,126,10.1093/nsr/nwac166,https://academic.oup.com/nsr/article-pdf/10/1/nwac166/48728028/nwac166.pdf
Single‐atomic Co‐B2N2 sites anchored on carbon nanotube arrays promote lithium polysulfide conversion in lithium–sulfur batteries,2023,Carbon Energy,126,10.1002/cey2.306,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/cey2.306
Inhibiting collective cation migration in Li-rich cathode materials as a strategy to mitigate voltage hysteresis,2023,OSTI OAI (U.S. Department of Energy Office of Scientific and Technical Information),125,10.1038/s41563-022-01467-z,https://www.osti.gov/servlets/purl/1965253
Physicochemical Dual Cross‐Linking Conductive Polymeric Networks Combining High Strength and High Toughness Enable Stable Operation of Silicon Microparticle Ano,2023,Advanced Materials,125,10.1002/adma.202301320,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adma.202301320
Synergizing Spatial Confinement and Dual‐Metal Catalysis to Boost Sulfur Kinetics in Lithium–Sulfur Batteries,2023,Advanced Materials,125,10.1002/adma.202304120,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adma.202304120
High‐Entropy Prussian Blue Analogues Enable Lattice Respiration for Ultrastable Aqueous Aluminum‐Ion Batteries,2024,Advanced Materials,125,10.1002/adma.202404172,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adma.202404172
Ni/SiO2/Graphene-modified separator as a multifunctional polysulfide barrier for advanced lithium-sulfur batteries,2020,OSTI OAI (U.S. Department of Energy Office of Scientific and Technical Information),124,10.1016/j.nanoen.2020.105033,
Enhanced electrochemical performance of MnFe@NiFe Prussian blue analogue benefited from the inhibition of Mn ions dissolution for sodium-ion batteries,2021,King Abdullah University of Science and Technology Repository (King Abdullah University of Science and Technology),124,10.1016/j.cej.2021.128518,
Robust Pseudocapacitive Sodium Cation Intercalation Induced by Cobalt Vacancies at Atomically Thin Co1−xSe2/Graphene Heterostructure for Sodium‐Ion Batteries,2021,Angewandte Chemie International Edition,124,10.1002/anie.202106857,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/anie.202106857
Atomically Dispersed Dual‐Site Cathode with a Record High Sulfur Mass Loading for High‐Performance Room‐Temperature Sodium–Sulfur Batteries,2022,Advanced Materials,124,10.1002/adma.202206828,
"An ultra-long life, high-performance, flexible Li–CO2 battery based on multifunctional carbon electrocatalysts",2020,Nano Energy,123,10.1016/j.nanoen.2020.104595,https://www.sciencedirect.com/science/article/am/pii/S2211285520301531
Flexible C 6 BN Monolayers As Promising Anode Materials for High-Performance K-Ion Batteries,2020,ACS Applied Materials & Interfaces,123,10.1021/acsami.0c09451,https://pubs.acs.org/doi/pdf/10.1021/acsami.0c09451
Dual redox catalysis of VN/nitrogen-doped graphene nanocomposites for high-performance lithium-sulfur batteries,2021,Figshare,123,10.1016/j.jechem.2021.05.015,
Water-shielding electric double layer and stable interphase engineering for durable aqueous zinc-ion batteries,2025,Nature Communications,123,10.1038/s41467-025-59830-y,
Supercritical CO 2 ‐Assisted SiO x /Carbon Multi‐Layer Coating on Si Anode for Lithium‐Ion Batteries,2021,Advanced Functional Materials,122,10.1002/adfm.202104135,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adfm.202104135
Cooperative Chloride Hydrogel Electrolytes Enabling Ultralow-Temperature Aqueous Zinc Ion Batteries by the Hofmeister Effect,2022,Nano-Micro Letters,122,10.1007/s40820-022-00836-2,https://link.springer.com/content/pdf/10.1007/s40820-022-00836-2.pdf
A Thiazole‐linked Covalent Organic Framework for Lithium‐Sulphur Batteries,2023,Angewandte Chemie International Edition,122,10.1002/anie.202302276,
Rational Design of an In‐Situ Polymer‐Inorganic Hybrid Solid Electrolyte Interphase for Realising Stable Zn Metal Anode under Harsh Conditions,2024,Angewandte Chemie International Edition,122,10.1002/anie.202401987,
Metal‐organic framework‐derived Fe/Cu‐substituted Co nanoparticles embedded in CNTs‐grafted carbon polyhedron for Zn‐air batteries,2020,Carbon Energy,121,10.1002/cey2.35,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/cey2.35
Highly Dispersed Cobalt Nanoparticles Embedded in Nitrogen-Doped Graphitized Carbon for Fast and Durable Potassium Storage,2020,Nano-Micro Letters,121,10.1007/s40820-020-00534-x,https://link.springer.com/content/pdf/10.1007/s40820-020-00534-x.pdf
Electroactive polymeric nanofibrous composite to drive in situ construction of lithiophilic SEI for stable lithium metal anodes,2022,eScience,121,10.1016/j.esci.2022.02.003,https://www.sciencedirect.com/science/article/pii/S2667141722000118/pdf
Regulating Dendrite‐Free Zinc Deposition by Red Phosphorous‐Derived Artificial Protective Layer for Zinc Metal Batteries,2022,Advanced Science,121,10.1002/advs.202200155,
Ultrahigh‐Loading Manganese‐Based Electrodes for Aqueous Batteries via Polymorph Tuning,2023,OSTI OAI (U.S. Department of Energy Office of Scientific and Technical Information),121,10.1002/adma.202211555,https://www.osti.gov/servlets/purl/2437757
Discovering Cathodic Biocompatibility for Aqueous Zn–MnO2 Battery: An Integrating Biomass Carbon Strategy,2024,Nano-Micro Letters,121,10.1007/s40820-024-01334-3,https://link.springer.com/content/pdf/10.1007/s40820-024-01334-3.pdf
High-efficiently doping nitrogen in kapok fiber-derived hard carbon used as anode materials for boosting rate performance of sodium-ion batteries,2024,Journal of Energy Chemistry,121,10.1016/j.jechem.2024.05.005,
Comprehensive Design of the High-Sulfur-Loading Li–S Battery Based on MXene Nanosheets,2020,Nano-Micro Letters,120,10.1007/s40820-020-00449-7,https://link.springer.com/content/pdf/10.1007/s40820-020-00449-7.pdf
Functionalized Sulfide Solid Electrolyte with Air-Stable and Chemical-Resistant Oxysulfide Nanolayer for All-Solid-State Batteries,2020,ACS Omega,120,10.1021/acsomega.0c03453,https://pubs.acs.org/doi/pdf/10.1021/acsomega.0c03453
Regulating Zn Ion Desolvation and Deposition Chemistry Toward Durable and Fast Rechargeable Zn Metal Batteries,2022,Advanced Science,120,10.1002/advs.202205874,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/advs.202205874
