composition,heusler type,num_electron,struct type,latt const,tetragonality,target
CoMnSi,Half Heusler,20,C1b,5.356,1.0041,2.0
CoMnGe,Half Heusler,20,C1b,5.49,1.0018,2.0
CoMnSn,Half Heusler,20,C1b,5.8366,1.0033,2.9147
CoMnP,Half Heusler,21,C1b,5.34,1.0,3.0
CoMnAs,Half Heusler,21,C1b,5.53,1.0,3.0
CoMnSb,Half Heusler,21,C1b,5.82,1.0,3.0
CoFeAl,Half Heusler,20,C1b,5.5,0.9982,2.6218
CoFeGa,Half Heusler,20,C1b,5.51,0.9982,2.679
CoFeIn,Half Heusler,20,C1b,5.8,1.0,3.3909
CoFeSi,Half Heusler,21,C1b,5.3621,1.0043,2.9966
CoFeGe,Half Heusler,21,C1b,5.5,1.0,3.0
CoFeSn,Half Heusler,21,C1b,5.79,0.9983,3.0
CoFeP,Half Heusler,22,C1b,5.35,1.0,3.8481
CoFeAs,Half Heusler,22,C1b,5.53,1.0018,3.9795
CoFeSb,Half Heusler,22,C1b,5.81,1.0,3.9793
CoNiAl,Half Heusler,22,C1b,5.49,1.0,1.0288
CoNiGa,Half Heusler,22,C1b,5.5,1.0018,1.1276
CoNiIn,Half Heusler,22,C1b,5.81,0.9983,1.4494
CoNiSi,Half Heusler,23,C1b,5.34,1.0019,0.0
CoNiGe,Half Heusler,23,C1b,5.4495,1.0042,0.0002
CoNiSn,Half Heusler,23,C1b,5.7409,1.0028,0.0002
CoNiP,Half Heusler,24,C1b,5.28,1.0019,0.2689
CoNiAs,Half Heusler,24,C1b,5.46,1.0,0.4672
CoNiSb,Half Heusler,24,C1b,5.73,1.0017,0.395
RhTiAl,Half Heusler,16,C1b,5.95,1.0,1.2431
RhTiGa,Half Heusler,16,C1b,5.95,1.0,1.178
RhTiIn,Half Heusler,16,C1b,6.21,1.0,1.3605
RhTiSi,Half Heusler,17,C1b,5.83,1.0017,0.0015
RhTiGe,Half Heusler,17,C1b,5.92,1.0,0.0679
RhTiSn,Half Heusler,17,C1b,6.15,1.0058,0.0001
RhTiP,Half Heusler,18,C1b,5.7366,1.001,0.0
RhTiAs,Half Heusler,18,C1b,5.872000000000001,1.0039,0.0
RhTiSb,Half Heusler,18,C1b,6.117999999999999,1.0034,0.0
RhVAl,Half Heusler,17,C1b,5.8262,1.0009,0.8014
RhVGa,Half Heusler,17,C1b,5.82,1.0,0.8873
RhVIn,Half Heusler,17,C1b,6.09,1.0,0.9487
RhVSi,Half Heusler,18,C1b,5.69,1.0,0.0
RhVGe,Half Heusler,18,C1b,5.7749,1.0051,0.0
RhVSn,Half Heusler,18,C1b,6.04,1.0017,0.0
RhVP,Half Heusler,19,C1b,5.66,1.0018,0.9998
RhVAs,Half Heusler,19,C1b,5.81,1.0034,1.0
RhVSb,Half Heusler,19,C1b,6.0581,1.0024,1.0
RhCrAl,Half Heusler,18,C1b,5.73,1.0,0.0
RhCrGa,Half Heusler,18,C1b,5.74,0.9983,0.0
RhCrIn,Half Heusler,18,C1b,6.19,1.0,3.7036
RhCrSi,Half Heusler,19,C1b,5.65,1.0018,1.0
RhCrGe,Half Heusler,19,C1b,5.75,1.0035,1.0
RhCrSn,Half Heusler,19,C1b,6.02,0.9983,0.9999
RhCrP,Half Heusler,20,C1b,5.65,1.0035,2.0
RhCrAs,Half Heusler,20,C1b,5.81,1.0017,2.0
RhCrSb,Half Heusler,20,C1b,6.0742,1.0007,2.374
RhMnAl,Half Heusler,19,C1b,5.89,1.0017,4.0227
RhMnGa,Half Heusler,19,C1b,5.89,1.0,4.0108
RhMnIn,Half Heusler,19,C1b,6.18,1.0,4.2613
RhMnSi,Half Heusler,20,C1b,5.7109,0.9954,2.8382
RhMnGe,Half Heusler,20,C1b,5.8231,1.0036,3.1638
RhMnSn,Half Heusler,20,C1b,6.1204,1.0047,3.7188
RhMnP,Half Heusler,21,C1b,5.67,0.9982,3.0
RhMnAs,Half Heusler,21,C1b,5.83,0.9983,3.0289
RhMnSb,Half Heusler,21,C1b,6.09,1.0,3.3184
RhFeAl,Half Heusler,20,C1b,5.78,1.0,2.8322
RhFeGa,Half Heusler,20,C1b,5.79,1.0,2.8206
RhFeIn,Half Heusler,20,C1b,6.08,1.0,3.0844
RhFeSi,Half Heusler,21,C1b,5.68,1.0,2.9903
RhFeGe,Half Heusler,21,C1b,5.78,0.9982,3.0
RhFeSn,Half Heusler,21,C1b,6.05,1.0,3.0
RhFeP,Half Heusler,22,C1b,5.65,0.9982,3.3912
RhFeAs,Half Heusler,22,C1b,5.81,1.0,3.5772
RhFeSb,Half Heusler,22,C1b,6.0464,1.0025,3.5768
RhNiAl,Half Heusler,22,C1b,5.73,1.0,0.5473
RhNiGa,Half Heusler,22,C1b,5.75,0.9983,0.0011
RhNiIn,Half Heusler,22,C1b,6.02,0.9983,0.4739
RhNiSi,Half Heusler,23,C1b,5.62,0.9982,0.0
RhNiGe,Half Heusler,23,C1b,5.73,1.0,0.0
RhNiSn,Half Heusler,23,C1b,6.0,0.9967,0.0
RhNiP,Half Heusler,24,C1b,5.57,1.0,0.0
RhNiAs,Half Heusler,24,C1b,5.72,1.0052,0.0001
RhNiSb,Half Heusler,24,C1b,5.97,1.0,0.0
NiTiAl,Half Heusler,17,C1b,5.75,1.0,0.9839
NiTiGa,Half Heusler,17,C1b,5.72,1.0,0.9969
NiTiIn,Half Heusler,17,C1b,5.9916,1.0021,0.9996
NiTiSi,Half Heusler,18,C1b,5.56,1.0027,0.0
NiTiGe,Half Heusler,18,C1b,5.6533,1.0025,0.0
NiTiSn,Half Heusler,18,C1b,5.9292,1.0032,0.0
NiTiP,Half Heusler,19,C1b,5.51,1.0,0.0
NiTiAs,Half Heusler,19,C1b,5.67,0.9982,0.0002
NiTiSb,Half Heusler,19,C1b,5.96,0.995,0.0
NiVAl,Half Heusler,18,C1b,5.5669,1.0041,0.0
NiVGa,Half Heusler,18,C1b,5.5508,1.0036,0.0
NiVIn,Half Heusler,18,C1b,5.8388,1.0029,0.0
NiVSi,Half Heusler,19,C1b,5.47,1.0018,0.9582
NiVGe,Half Heusler,19,C1b,5.58,1.0,0.9917
NiVSn,Half Heusler,19,C1b,5.87,0.9983,1.0
NiVP,Half Heusler,20,C1b,5.45,0.9982,1.9054
NiVAs,Half Heusler,20,C1b,5.62,0.9982,1.9956
NiVSb,Half Heusler,20,C1b,5.89,1.0,2.0
NiCrAl,Half Heusler,19,C1b,5.54,0.9982,1.0001
NiCrGa,Half Heusler,19,C1b,5.53,1.0,1.0
NiCrIn,Half Heusler,19,C1b,5.99,1.0,3.7035
NiCrSi,Half Heusler,20,C1b,5.44,1.0,2.0
NiCrGe,Half Heusler,20,C1b,5.56,0.9982,2.0
NiCrSn,Half Heusler,20,C1b,5.88,1.0,2.488
NiCrP,Half Heusler,21,C1b,5.4247,1.0034,3.0
NiCrAs,Half Heusler,21,C1b,5.62,1.0,3.0
NiCrSb,Half Heusler,21,C1b,5.89,1.0,3.0499
NiMnAl,Half Heusler,20,tetragonal,5.56,1.036,3.1633
NiMnGa,Half Heusler,20,C1b,5.64,1.0,3.3076
NiMnIn,Half Heusler,20,C1b,5.96,1.0034,3.8207
NiMnSi,Half Heusler,21,C1b,5.45,1.0018,3.0
NiMnGe,Half Heusler,21,C1b,5.57,1.0018,3.0076
NiMnSn,Half Heusler,21,C1b,5.88,1.0,3.319
NiMnP,Half Heusler,22,C1b,5.46,1.0018,4.0
NiMnAs,Half Heusler,22,C1b,5.64,0.9982,4.0
NiMnSb,Half Heusler,22,C1b,5.91,1.0,4.0
NiFeAl,Half Heusler,21,C1b,5.56,0.9964,2.9978
NiFeGa,Half Heusler,21,C1b,5.56,0.9982,3.0
NiFeIn,Half Heusler,21,C1b,5.85,1.0,3.0
NiFeSi,Half Heusler,22,C1b,5.44,1.0,3.3327
NiFeGe,Half Heusler,22,C1b,5.57,1.0018,3.531
NiFeSn,Half Heusler,22,C1b,5.85,1.0017,3.4914
NiFeP,Half Heusler,23,C1b,5.4,1.0,3.5904
NiFeAs,Half Heusler,23,tetragonal,5.54,1.0289,3.674
NiFeSb,Half Heusler,23,tetragonal,5.91,0.9712,3.3752
NiNiAl,Half Heusler,23,C1b,5.49,1.0036,0.0
NiNiGa,Half Heusler,23,C1b,5.51,0.9982,0.0
NiNiIn,Half Heusler,23,C1b,5.79,1.0017,0.0
NiNiSi,Half Heusler,24,C1b,5.36,1.0037,0.0
NiNiGe,Half Heusler,24,C1b,5.49,1.0,0.0
NiNiSn,Half Heusler,24,C1b,5.76,1.0035,0.0001
NiNiP,Half Heusler,25,C1b,5.3,1.0,0.0
NiNiAs,Half Heusler,25,C1b,5.3,1.0,0.0
NiNiSb,Half Heusler,25,C1b,5.76,0.9965,0.0
CrTiAl,Half Heusler,13,triclinic,0.0,-0.0889,0.0
CrVAl,Half Heusler,14,triclinic,0.0,-0.1611,0.0
CrVGa,Half Heusler,14,triclinic,0.0,-0.099,0.0
CrVIn,Half Heusler,14,triclinic,0.5924,0.3397,0.4075
CrVSi,Half Heusler,15,triclinic,-0.0001,-0.1111,0.0012
CrVGe,Half Heusler,15,triclinic,0.0003,0.0341,0.0034
CrVP,Half Heusler,16,triclinic,0.0001,-0.43799999999999994,0.0017
CrCrAl,Half Heusler,15,triclinic,0.0317,0.2312,0.0037
CrCrGa,Half Heusler,15,triclinic,0.0,0.1516,0.0
CrCrIn,Half Heusler,15,triclinic,0.002,0.2738,0.0346
CrCrSi,Half Heusler,16,triclinic,-0.5397,-0.0192,0.1739
CrMnAl,Half Heusler,16,triclinic,-0.0331,0.1862,0.1779
CrMnGa,Half Heusler,16,triclinic,-0.038,0.41200000000000003,0.4237
CrMnIn,Half Heusler,16,triclinic,-0.0018,0.41600000000000004,0.8922
CrFeAl,Half Heusler,17,triclinic,-0.0323,0.1532,0.3733
CrFeGa,Half Heusler,17,triclinic,-0.5578,0.2718,0.0017
CrFeIn,Half Heusler,17,triclinic,0.8014,0.5521,0.4194
CrNiAl,Half Heusler,19,triclinic,2.5522,0.0854,0.3844
CrNiIn,Half Heusler,19,triclinic,3.5036,0.1643,0.3094
MnTiAl,Half Heusler,14,triclinic,1.6236,-0.1197,0.2082
MnTiGa,Half Heusler,14,triclinic,1.7464,-0.1948,0.2228
MnTiSi,Half Heusler,15,triclinic,-0.0001,-0.3476,0.0355
MnVAl,Half Heusler,15,triclinic,0.6647,0.0207,0.0634
MnVGa,Half Heusler,15,triclinic,0.8697,-0.0263,0.3644
MnVIn,Half Heusler,15,triclinic,1.0756,0.1986,0.8269
MnVSi,Half Heusler,16,triclinic,0.0,-0.21100000000000002,0.0012
MnCrAl,Half Heusler,16,triclinic,-0.0456,0.1406,0.4137
MnCrGa,Half Heusler,16,triclinic,-0.0056,0.1262,0.9037
MnCrIn,Half Heusler,16,triclinic,0.2152,0.3917,0.11599999999999999
MnMnAl,Half Heusler,17,triclinic,-0.0204,-0.0146,0.3585
MnNiGa,Half Heusler,20,triclinic,3.4011,-0.013000000000000001,0.3077
MnNiIn,Half Heusler,20,triclinic,3.9933,0.1529,0.3538
MnNiAs,Half Heusler,22,triclinic,3.4745,-0.1689,0.0497
FeTiAl,Half Heusler,15,triclinic,0.0027,-0.1646,0.075
FeTiGa,Half Heusler,15,triclinic,0.442,-0.1751,0.0625
FeTiIn,Half Heusler,15,triclinic,0.6539,0.105,0.1159
FeTiSi,Half Heusler,16,triclinic,0.0,-0.4228,0.0
FeVAl,Half Heusler,16,triclinic,0.0,-0.04,0.0
FeVGa,Half Heusler,16,triclinic,0.0,-0.0305,0.0
FeVIn,Half Heusler,16,triclinic,0.0734,0.2917,0.3346
FeCrAl,Half Heusler,17,triclinic,-0.0165,0.159,0.0308
FeCrIn,Half Heusler,17,triclinic,-0.8036,0.4735,0.2006
RuTiAl,Half Heusler,15,triclinic,-0.1162,-0.2797,0.02
RuTiGa,Half Heusler,15,triclinic,0.0,-0.3696,0.0
RuTiIn,Half Heusler,15,triclinic,0.0,-0.1143,0.0
RuVIn,Half Heusler,16,triclinic,0.0,0.1585,0.0
RuVSn,Half Heusler,17,triclinic,0.0,-0.0277,0.0
RuCrAl,Half Heusler,17,triclinic,-0.0879,0.1437,0.0
RuCrGa,Half Heusler,17,triclinic,-0.0001,0.0801,0.0
RuCrIn,Half Heusler,17,triclinic,-1.9599,0.4198,0.5841
RuFeIn,Half Heusler,19,triclinic,-3.4053,0.3581,0.1115
RuNiAl,Half Heusler,21,triclinic,0.0,-0.3212,0.0
RuNiGa,Half Heusler,21,triclinic,0.0001,-0.1431,0.0
RuNiIn,Half Heusler,21,triclinic,-0.5883,0.34,0.0025
CoTiAl,Half Heusler,16,triclinic,0.0141,-0.2877,0.1905
CoTiGa,Half Heusler,16,triclinic,0.0071,-0.3195,0.0061
CoTiIn,Half Heusler,16,triclinic,-0.0001,-0.0619,0.0
CoVAl,Half Heusler,17,triclinic,-0.5685,-0.0948,0.377
CoVGa,Half Heusler,17,triclinic,0.0,-0.0985,0.0
CoVIn,Half Heusler,17,triclinic,0.0,0.1999,0.0
CoFeIn,Half Heusler,20,triclinic,-3.8992,0.3004,0.2227
RhTiGa,Half Heusler,16,triclinic,0.0,-0.5396,0.0
RhTiIn,Half Heusler,16,triclinic,0.0,-0.358,0.0
RhVGa,Half Heusler,17,triclinic,-0.904,-0.2077,0.7823
RhVIn,Half Heusler,17,triclinic,-0.24100000000000002,0.0386,0.7402
RhFeIn,Half Heusler,20,triclinic,-3.185,0.1051,0.5659
RhNiP,Half Heusler,24,triclinic,0.0,-0.3907,0.0
NiTiAl,Half Heusler,17,triclinic,0.0,-0.366,0.0
NiTiGa,Half Heusler,17,triclinic,0.0,-0.4025,0.0
NiFeP,Half Heusler,23,triclinic,0.0005,-0.4033,0.0
NiNiP,Half Heusler,25,triclinic,0.0,-0.4451,0.0
NiNiAs,Half Heusler,25,triclinic,0.0,-0.1525,0.0
Sc2TiIn,Inverse Heusler,13,Tetragonal,6.08,1.5329,1.4104
Sc2TiSi,Inverse Heusler,14,Tetragonal,5.75,1.5774,1.2994
Sc2TiSn,Inverse Heusler,14,Tetragonal,6.02,1.5698,1.5508
Sc2TiP,Inverse Heusler,15,Tetragonal,5.61,1.6239,0.7873
Sc2TiAs,Inverse Heusler,15,Tetragonal,5.73,1.6230000000000002,0.5189
Sc2VAs,Inverse Heusler,16,Tetragonal,5.64,1.6028,0.0015
Sc2ZnP,Inverse Heusler,23,Tetragonal,5.45,1.8055,0.0
Sc2ZnAs,Inverse Heusler,23,Tetragonal,5.57,1.7899,0.0
Ti2VAs,Inverse Heusler,18,Tetragonal,5.35,1.5888,1.6493
Ti2NiAl,Inverse Heusler,21,Tetragonal,5.28,1.6098,0.0
V2CuAl,Inverse Heusler,24,Tetragonal,5.23,1.5105,0.0852
V2ZnAs,Inverse Heusler,27,Tetragonal,5.2246,1.5678,0.5928
Cr2CuP,Inverse Heusler,28,Tetragonal,5.1,1.4471,0.2165
Cr2ZnP,Inverse Heusler,29,Tetragonal,5.15,1.5049,0.3507
Mn2NiP,Inverse Heusler,29,Tetragonal,5.07,1.357,1.2154
Mn2ZnP,Inverse Heusler,31,Tetragonal,5.04,1.621,5.7612
Mn2ZnSb,Inverse Heusler,31,Tetragonal,5.45,1.5633,6.011
Fe2CuAs,Inverse Heusler,32,Tetragonal,5.2,1.4404,4.8846
Fe2CuSb,Inverse Heusler,32,Tetragonal,5.47,1.3803,4.66
Fe2ZnGe,Inverse Heusler,32,Tetragonal,5.16,1.5019,4.3462
Fe2ZnSn,Inverse Heusler,32,Tetragonal,5.41,1.4806,4.4514
Fe2ZnAs,Inverse Heusler,33,Tetragonal,5.18,1.5232,4.4799
Co2NiGa,Inverse Heusler,31,Tetragonal,5.21,1.3052,2.7384
Co2NiIn,Inverse Heusler,31,Tetragonal,5.44,1.3107,2.9077
Co2NiSi,Inverse Heusler,32,Tetragonal,5.0307,1.3534,2.2607
Co2NiGe,Inverse Heusler,32,Tetragonal,5.13,1.3567,2.4031
Co2NiSn,Inverse Heusler,32,Tetragonal,5.3848,1.3345,2.5023
Co2CuIn,Inverse Heusler,32,Tetragonal,5.53,1.2857,2.7872
Co2CuSi,Inverse Heusler,33,Tetragonal,5.02,1.4104,2.2312
Cu2ZnSi,Inverse Heusler,38,Tetragonal,5.21,1.476,0.0
Cu2ZnGe,Inverse Heusler,38,Tetragonal,5.32,1.4793,0.0
Cu2ZnP,Inverse Heusler,39,Tetragonal,5.19,1.5029,0.0
Cu2ZnSb,Inverse Heusler,39,Tetragonal,5.61,1.4652,0.0
Ti2CrSn,Inverse Heusler,18,Xa,6.47,1.0,0.0
Ti2CrSb,Inverse Heusler,19,Xa,6.38,1.0,0.965
Ti2MnSn,Inverse Heusler,19,Xa,6.39,1.0,1.0
Ti2CoIn,Inverse Heusler,20,Xa,6.351,1.0,2.0
V2CrSi,Inverse Heusler,20,Xa,5.8497,0.9999,0.0003
V2CrGe,Inverse Heusler,20,Xa,5.94,1.0,2.0
V2CrSn,Inverse Heusler,20,Xa,6.222,1.0,2.3385
V2CrSb,Inverse Heusler,21,Xa,6.21,1.0,2.8927
V2MnAl,Inverse Heusler,20,Xa,5.9218,0.9999,2.0
V2MnGa,Inverse Heusler,20,Xa,5.9239999999999995,1.0,2.0
V2MnIn,Inverse Heusler,20,Xa,6.271,1.0,3.2251
V2MnSi,Inverse Heusler,21,Xa,5.8159,1.0001,0.0009
V2MnGe,Inverse Heusler,21,Xa,5.92,1.0,2.8136
V2MnSn,Inverse Heusler,21,Xa,6.2,1.0,2.9604
V2MnP,Inverse Heusler,22,Xa,5.6947,1.0021,0.5855
V2FeAl,Inverse Heusler,21,Xa,5.9142,1.0,2.911
V2FeGa,Inverse Heusler,21,Xa,5.91,1.0,2.8487
V2FeIn,Inverse Heusler,21,Xa,6.17,1.0,2.8998
V2FeSi,Inverse Heusler,22,Xa,5.7819,1.0003,1.986
V2CoIn,Inverse Heusler,22,Xa,6.15,1.0,1.9987
Cr2MnAl,Inverse Heusler,22,Xa,5.831,1.0,2.0
Cr2MnGa,Inverse Heusler,22,Xa,5.832000000000001,1.0,1.993
Cr2MnIn,Inverse Heusler,22,Xa,6.31,1.0,3.6325
Cr2MnSi,Inverse Heusler,23,Xa,5.66,1.0,1.135
Cr2FeAl,Inverse Heusler,23,Xa,5.76,1.0,1.0051
Cr2FeGa,Inverse Heusler,23,Xa,5.79,1.0,0.9849
Cr2FeIn,Inverse Heusler,23,Xa,6.12,1.0,0.9769
Cr2FeSi,Inverse Heusler,24,Xa,5.6189,0.9992,0.0006
Cr2FeGe,Inverse Heusler,24,Xa,5.7620000000000005,1.0,0.0156
Cr2FeSn,Inverse Heusler,24,Xa,6.081,1.0,0.0233
Cr2FeP,Inverse Heusler,25,Xa,5.5813,1.0002,1.0141
Cr2FeAs,Inverse Heusler,25,Xa,5.76,1.0,1.0106
Cr2FeSb,Inverse Heusler,25,Xa,6.05,1.0,1.0134
Cr2CoAl,Inverse Heusler,24,Xa,5.79,1.0,0.0095
Cr2CoGa,Inverse Heusler,24,Xa,5.815,1.0,0.0747
Cr2CoIn,Inverse Heusler,24,Xa,6.13,1.0,0.1443
Cr2CoSn,Inverse Heusler,25,Xa,6.11,1.0,1.034
Cr2CoP,Inverse Heusler,26,Xa,5.6185,0.9986,1.9999
Cr2CoSb,Inverse Heusler,26,Xa,6.06,1.0,2.0016
Cr2NiAl,Inverse Heusler,25,Xa,5.7,1.0,1.0
Cr2NiGa,Inverse Heusler,25,Xa,5.87,1.0,0.9898
Cr2NiIn,Inverse Heusler,25,Xa,6.18,1.0,0.7431
Cr2NiSn,Inverse Heusler,26,Xa,6.17,1.0,0.8278
Cr2NiSb,Inverse Heusler,27,Xa,6.132000000000001,1.0,1.2883
Cr2CuAl,Inverse Heusler,26,Xa,5.93,1.0,0.7568
Cr2CuGa,Inverse Heusler,26,Xa,5.98,1.0,0.4454
Cr2CuIn,Inverse Heusler,26,Xa,6.307,1.0,0.1492
Cr2CuSi,Inverse Heusler,27,Xa,5.78,1.0,0.8017
Cr2CuGe,Inverse Heusler,27,Xa,5.962000000000001,1.0,0.6161
Cr2CuSn,Inverse Heusler,27,Xa,6.2829999999999995,1.0,0.2333
Cr2CuSb,Inverse Heusler,28,Xa,6.28,1.0,0.3134
Cr2ZnAl,Inverse Heusler,27,Xa,6.005,1.0,0.7063
Cr2ZnGa,Inverse Heusler,27,Xa,6.071000000000001,1.0,0.0778
Cr2ZnIn,Inverse Heusler,27,Xa,6.385,1.0,0.0036
Cr2ZnSn,Inverse Heusler,28,Xa,6.36,1.0,0.1016
Mn2FeAl,Inverse Heusler,25,Xa,5.75,1.0,1.0009
Mn2FeGa,Inverse Heusler,25,Xa,5.79,1.0,1.0386
Mn2FeIn,Inverse Heusler,25,Xa,6.13,1.0,1.3374
Mn2FeSi,Inverse Heusler,26,Xa,5.6006,0.9998,2.0077
Mn2FeGe,Inverse Heusler,26,Xa,5.72,1.0,2.0135
Mn2FeSn,Inverse Heusler,26,Xa,6.059,0.9972,1.9994
Mn2FeP,Inverse Heusler,27,Xa,5.5584,0.9989,3.0
Mn2FeAs,Inverse Heusler,27,Xa,5.72,1.0,3.0
Mn2FeSb,Inverse Heusler,27,Xa,5.9914,1.0003,3.0
Mn2CoAl,Inverse Heusler,26,Xa,5.7349,0.9995,1.9999
Mn2CoGa,Inverse Heusler,26,Xa,5.76,1.0,2.0045
Mn2CoIn,Inverse Heusler,26,Xa,6.091,1.0,1.7774
Mn2CoSi,Inverse Heusler,27,Xa,5.621,0.9989,3.0
Mn2CoGe,Inverse Heusler,27,Xa,5.733,1.0,3.0
Mn2CoSn,Inverse Heusler,27,Xa,6.0920000000000005,1.0,1.5295
Mn2CoP,Inverse Heusler,28,Xa,5.5814,1.0002,4.0
Mn2CoAs,Inverse Heusler,28,Xa,5.7378,1.0005,4.0
Mn2CoSb,Inverse Heusler,28,Xa,5.9853,1.0005,4.0
Mn2NiAl,Inverse Heusler,27,Xa,5.8,1.0,1.1766
Mn2NiGa,Inverse Heusler,27,Xa,5.83,1.0,1.1825
Mn2NiIn,Inverse Heusler,27,Xa,6.17,1.0,0.5289
Mn2NiSi,Inverse Heusler,28,Xa,5.7,1.0,1.0712
Mn2NiGe,Inverse Heusler,28,Xa,5.85,1.0,0.897
Mn2NiSn,Inverse Heusler,28,Xa,6.146,1.0,0.5561
Mn2CuAl,Inverse Heusler,28,Xa,5.89,1.0,0.1841
Mn2CuGa,Inverse Heusler,28,Xa,5.937,1.0,0.3264
Mn2CuIn,Inverse Heusler,28,Xa,6.247000000000001,1.0,0.2512
Fe2CoAl,Inverse Heusler,28,Xa,5.7006,1.0007,4.9910000000000005
Fe2CoGa,Inverse Heusler,28,Xa,5.724,1.0,5.1876
Fe2CoIn,Inverse Heusler,28,Xa,6.0101,1.0021,6.0264
Fe2CoSi,Inverse Heusler,29,Xa,5.6086,0.9988,4.9626
Fe2CoGe,Inverse Heusler,29,Xa,5.72,1.0,5.0832
Fe2CoSn,Inverse Heusler,29,Xa,5.9753,1.0045,5.4656
Fe2CoP,Inverse Heusler,30,Xa,5.5898,1.0006,5.7626
Fe2CoAs,Inverse Heusler,30,Xa,5.7646,1.0005,5.9465
Fe2CoSb,Inverse Heusler,30,Xa,5.992000000000001,1.001,5.9328
Fe2NiAl,Inverse Heusler,29,Xa,5.7455,0.9972,4.7777
Fe2NiGa,Inverse Heusler,29,Xa,5.757000000000001,1.0,4.8692
Fe2NiIn,Inverse Heusler,29,Xa,6.0193,1.003,5.1485
Co2NiAl,Inverse Heusler,31,Xa,5.69,1.0,2.9916
